"Taxa","Unadjusted","Adjusted"
"L-tryptophan biosynthesis","","$"
"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","*","*"
"L-valine biosynthesis","*","$*"
"lactose and galactose degradation I","","$"
"lipid IVA biosynthesis","*","$"
"mannan degradation","*","*"
"methylgallate degradation","*","*"
"methylphosphonate degradation I","*","$"
"mixed acid fermentation","*","$"
"mono-trans, poly-cis decaprenyl phosphate biosynthesis","*","$"
"mycolate biosynthesis","*","$"
"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","*","$"
"mycothiol biosynthesis","*","$"
"myo-, chiro- and scillo-inositol degradation","*","$"
"myo-inositol degradation I","*","$"
"NAD biosynthesis I (from aspartate)","*","$+*"
"NAD biosynthesis II (from tryptophan)","*","*"
"NAD salvage pathway I","*","$"
"nitrate reduction I (denitrification)","*","$"
"nitrate reduction V (assimilatory)","*","$"
"nitrate reduction VII (denitrification)","*","$"
"O-antigen building blocks biosynthesis (E. coli)","*","*"
"octane oxidation","*","$"
"oleate biosynthesis IV (anaerobic)","*","$"
"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","*","$"
"pentose phosphate pathway","*","$+*"
"pentose phosphate pathway (non-oxidative branch)","*","$*"
"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","*","*"
"peptidoglycan biosynthesis II (staphylococci)","","$"
"peptidoglycan biosynthesis III (mycobacteria)","*","*"
"peptidoglycan biosynthesis IV (Enterococcus faecium)","","$*"
"peptidoglycan biosynthesis V (&beta;-lactam resistance)","*","$"
"peptidoglycan maturation (meso-diaminopimelate containing)","*","$*"
"phosphatidylglycerol biosynthesis I (plastidic)","*","$+"
"phosphatidylglycerol biosynthesis II (non-plastidic)","*","$+"
"phosphopantothenate biosynthesis I","*","$"
"polyisoprenoid biosynthesis (E. coli)","*","$"
"preQ0 biosynthesis","","$"
"protein N-glycosylation (bacterial)","*","$"
"protocatechuate degradation II (ortho-cleavage pathway)","*",""
"purine nucleobases degradation I (anaerobic)","*","$*"
"purine nucleotides degradation II (aerobic)","*","+"
"purine ribonucleosides degradation","*","$*"
"pyridoxal 5-phosphate biosynthesis I","*","$"
"pyrimidine deoxyribonucleosides salvage","","$*"
"pyrimidine deoxyribonucleotide phosphorylation","","$"
"pyrimidine deoxyribonucleotides de novo biosynthesis I","","$"
"pyrimidine deoxyribonucleotides de novo biosynthesis II","*","*"
"pyrimidine deoxyribonucleotides de novo biosynthesis III","*","$"
"pyrimidine deoxyribonucleotides de novo biosynthesis IV","*","$"
"pyruvate fermentation to acetate and lactate II","*","$*"
"pyruvate fermentation to acetone","*","*"
"pyruvate fermentation to isobutanol (engineered)","*","$*"
"pyruvate fermentation to propanoate I","*","$"
"queuosine biosynthesis","*","$*"
"S-adenosyl-L-methionine cycle I","*","$*"
"spermidine biosynthesis III","*","*"
"starch degradation III","*","*"
"starch degradation V","","$*"
"stearate biosynthesis II (bacteria and plants)","*","$"
"sucrose degradation III (sucrose invertase)","*","$*"
"sucrose degradation IV (sucrose phosphorylase)","*","$"
"sulfate reduction I (assimilatory)","*","$"
"sulfoglycolysis","*","$"
"superpathay of heme biosynthesis from glutamate","*","$"
"superpathway of (Kdo)2-lipid A biosynthesis","*","$"
"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","*","$*"
"superpathway of adenosine nucleotides de novo biosynthesis I","*","*"
"superpathway of adenosine nucleotides de novo biosynthesis II","*","*"
"superpathway of arginine and polyamine biosynthesis","*",""
"superpathway of aromatic amino acid biosynthesis","*","$*"
"superpathway of branched amino acid biosynthesis","*","$*"
"superpathway of D-glucarate and D-galactarate degradation","*","$"
"superpathway of demethylmenaquinol-6 biosynthesis I","*","$"
"superpathway of demethylmenaquinol-6 biosynthesis II","*","$"
"superpathway of demethylmenaquinol-8 biosynthesis","*","$"
"superpathway of demethylmenaquinol-9 biosynthesis","*","$"
"superpathway of fatty acid biosynthesis initiation (E. coli)","*","$*"
"superpathway of fucose and rhamnose degradation","*",""
"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","*","*"
"superpathway of glucose and xylose degradation","*","$*"
"superpathway of glycerol degradation to 1,3-propanediol","*","*"
"superpathway of glycolysis and Entner-Doudoroff","*","$"
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","*","$+"
"superpathway of glyoxylate bypass and TCA","*","$"
"superpathway of guanosine nucleotides de novo biosynthesis I","","$"
"superpathway of guanosine nucleotides de novo biosynthesis II","","$"
"superpathway of hexitol degradation (bacteria)","*",""
"superpathway of L-alanine biosynthesis","*","$*"
"superpathway of L-arginine and L-ornithine degradation","*","$"
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","*","$"
"superpathway of L-aspartate and L-asparagine biosynthesis","*","$"
"superpathway of L-isoleucine biosynthesis I","*","$*"
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","*","$"
"superpathway of L-methionine biosynthesis (transsulfuration)","*","$+"
"superpathway of L-serine and glycine biosynthesis I","","$*"
"superpathway of L-threonine biosynthesis","*","$*"
"superpathway of L-threonine metabolism","*","*"
"superpathway of menaquinol-10 biosynthesis","*","$"
"superpathway of menaquinol-11 biosynthesis","*","$"
"superpathway of menaquinol-12 biosynthesis","*","$"
"superpathway of menaquinol-13 biosynthesis","*","$"
"superpathway of menaquinol-6 biosynthesis I","*","$"
"superpathway of menaquinol-7 biosynthesis","*","$"
"superpathway of menaquinol-8 biosynthesis I","*","$"
"superpathway of menaquinol-9 biosynthesis","*","$"
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","*","$"
"superpathway of N-acetylneuraminate degradation","*","$"
"superpathway of ornithine degradation","*","$"
"superpathway of phospholipid biosynthesis I (bacteria)","*","$"
"superpathway of phylloquinol biosynthesis","*","$"
"superpathway of polyamine biosynthesis I","*",""
"superpathway of purine deoxyribonucleosides degradation","*","$"
"superpathway of pyridoxal 5-phosphate biosynthesis and salvage","*","$+"
"superpathway of pyrimidine deoxyribonucleoside salvage","*","$"
"superpathway of pyrimidine deoxyribonucleosides degradation","","$*"
"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","*","$"
"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","","$"
"superpathway of pyrimidine nucleobases salvage","*","$*"
"superpathway of pyrimidine ribonucleosides salvage","*","$"
"superpathway of pyrimidine ribonucleotides de novo biosynthesis","","$"
"superpathway of quinolone and alkylquinolone biosynthesis","*","*"
"superpathway of S-adenosyl-L-methionine biosynthesis","*","$"
"superpathway of salicylate degradation","*","+*"
"superpathway of sulfate assimilation and cysteine biosynthesis","*","$"
"superpathway of sulfolactate degradation","*","*"
"superpathway of sulfur oxidation (Acidianus ambivalens)","*","$"
"superpathway of tetrahydrofolate biosynthesis","*","$"
"superpathway of tetrahydrofolate biosynthesis and salvage","*","$"
"superpathway of thiamin diphosphate biosynthesis I","*","$"
"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","*","$"
"TCA cycle I (prokaryotic)","*","$"
"TCA cycle IV (2-oxoglutarate decarboxylase)","*","$"
"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","*","$"
"TCA cycle VI (obligate autotrophs)","*","$+*"
"TCA cycle VII (acetate-producers)","*","$"
"TCA cycle VIII (helicobacter)","*","$"
"teichoic acid (poly-glycerol) biosynthesis","*","*"
"tetrapyrrole biosynthesis I (from glutamate)","","$"
"tetrapyrrole biosynthesis II (from glycine)","*","$"
"thiamin salvage II","*","$"
"thiazole biosynthesis I (E. coli)","*","$"
"thiazole biosynthesis II (Bacillus)","*","$"
"tRNA charging","*","$*"
"tRNA processing","*","$+"
"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","*","$"
"UDP-N-acetyl-D-glucosamine biosynthesis I","*","$"
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","*","*"
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","*","*"
"UMP biosynthesis","*","$*"
"urate biosynthesis/inosine 5-phosphate degradation","*","$*"
"urea cycle","*","$"
