"Taxa","Unadjusted","Adjusted"
"ectoine biosynthesis (P101-PWY)","+*","+*"
"enterobacterial common antigen biosynthesis (ECASYN-PWY)","$+*","$*"
"ergothioneine biosynthesis I (bacteria) (PWY-7255)","*","$+*"
"fatty acid &beta;-oxidation I (FAO-PWY)","*","*"
"fatty acid elongation -- saturated (FASYN-ELONG-PWY)","+*",""
"fatty acid salvage (PWY-7094)","*","*"
"formaldehyde assimilation I (serine pathway) (PWY-1622)","*","*"
"formaldehyde assimilation II (RuMP Cycle) (PWY-1861)","*","*"
"formaldehyde oxidation I (RUMP-PWY)","*","*"
"fucose degradation (FUCCAT-PWY)","$+*","$+*"
"galactose degradation I (Leloir pathway) (PWY-6317)","*",""
"gallate degradation I (GALLATE-DEGRADATION-II-PWY)","*","*"
"gallate degradation II (GALLATE-DEGRADATION-I-PWY)","*","*"
"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis (PWY-6478)","*","$*"
"GDP-mannose biosynthesis (PWY-5659)","*",""
"gluconeogenesis I (GLUCONEO-PWY)","*",""
"glucose and glucose-1-phosphate degradation (GLUCOSE1PMETAB-PWY)","*",""
"glycogen biosynthesis I (from ADP-D-Glucose) (GLYCOGENSYNTH-PWY)","*",""
"glycogen degradation I (bacterial) (GLYCOCAT-PWY)","*","$"
"glycolysis I (from glucose 6-phosphate) (GLYCOLYSIS)","*",""
"glycolysis II (from fructose 6-phosphate) (PWY-5484)","*",""
"glycolysis III (from glucose) (ANAGLYCOLYSIS-PWY)","*",""
"glyoxylate cycle (GLYOXYLATE-BYPASS)","+*","$*"
"gondoate biosynthesis (anaerobic) (PWY-7663)","+*","$"
"guanosine deoxyribonucleotides de novo biosynthesis II (PWY-7222)","*","$"
"guanosine nucleotides degradation III (PWY-6608)","*",""
"guanosine ribonucleotides de novo biosynthesis (PWY-7221)","*","*"
"heme biosynthesis II (anaerobic) (HEMESYN2-PWY)","+*",""
"hexitol fermentation to lactate, formate, ethanol and acetate (P461-PWY)","$+*","$+*"
"homolactic fermentation (ANAEROFRUCAT-PWY)","$+*","$+*"
"incomplete reductive TCA cycle (P42-PWY)","*","$+*"
"inosine-5-phosphate biosynthesis I (PWY-6123)","*","*"
"inosine-5-phosphate biosynthesis III (PWY-7234)","*","*"
"isopropanol biosynthesis (PWY-6876)","*","*"
"ketogluconate metabolism (KETOGLUCONMET-PWY)","+*","$*"
"L-1,2-propanediol degradation (PWY-7013)","*","$"
"L-arginine biosynthesis I (via L-ornithine) (ARGSYN-PWY)","*","$"
"L-arginine biosynthesis II (acetyl cycle) (ARGSYNBSUB-PWY)","*",""
"L-arginine biosynthesis III (via N-acetyl-L-citrulline) (PWY-5154)","$+*","$+*"
"L-arginine biosynthesis IV (archaebacteria) (PWY-7400)","*","$"
"L-arginine degradation II (AST pathway) (AST-PWY)","+*","$*"
"L-ascorbate biosynthesis VI (engineered pathway) (PWY-7165)","*","*"
"L-histidine biosynthesis (HISTSYN-PWY)","*","$"
"L-isoleucine biosynthesis I (from threonine) (ILEUSYN-PWY)","*","*"
"L-isoleucine biosynthesis II (PWY-5101)","*","*"
"L-isoleucine biosynthesis III (PWY-5103)","*","*"
"L-isoleucine biosynthesis IV (PWY-5104)","*",""
"L-lysine biosynthesis II (PWY-2941)","*","$"
"L-lysine biosynthesis III (PWY-2942)","$*","$*"
"L-lysine biosynthesis VI (PWY-5097)","*",""
"L-lysine fermentation to acetate and butanoate (P163-PWY)","*","$*"
"L-methionine biosynthesis I (HOMOSER-METSYN-PWY)","*",""
"L-ornithine biosynthesis (GLUTORN-PWY)","*","$"
"L-rhamnose degradation I (RHAMCAT-PWY)","*","*"
"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde (PWY-5651)","*","*"
"L-valine biosynthesis (VALSYN-PWY)","*","*"
"lactose and galactose degradation I (LACTOSECAT-PWY)","*","$"
"mannan degradation (PWY-7456)","*","*"
"methylgallate degradation (METHYLGALLATE-DEGRADATION-PWY)","*","*"
"methylphosphonate degradation I (PWY0-1533)","+*","*"
"mixed acid fermentation (FERMENTATION-PWY)","+*",""
"mono-trans, poly-cis decaprenyl phosphate biosynthesis (PWY-6383)","+*^","$+*^"
"mycolate biosynthesis (PWYG-321)","*","$*"
"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis (PWY-6397)","+*","+*"
"mycothiol biosynthesis (PWY1G-0)","*",""
"myo-, chiro- and scillo-inositol degradation (PWY-7237)","*",""
"myo-inositol degradation I (P562-PWY)","*","*"
"N10-formyl-tetrahydrofolate biosynthesis (1CMET2-PWY)","*","*"
"NAD biosynthesis I (from aspartate) (PYRIDNUCSYN-PWY)","*","$"
"NAD biosynthesis II (from tryptophan) (NADSYN-PWY)","*","*"
"NAD salvage pathway I (PYRIDNUCSAL-PWY)","*",""
"nicotinate degradation I (PWY-722)","*","*"
"nitrate reduction I (denitrification) (DENITRIFICATION-PWY)","*",""
"nitrate reduction V (assimilatory) (PWY-5675)","$+*","$*"
"nitrate reduction VII (denitrification) (PWY-6748)","*",""
"O-antigen building blocks biosynthesis (E. coli) (OANTIGEN-PWY)","$*","$*"
"octane oxidation (P221-PWY)","*","*"
"oleate biosynthesis IV (anaerobic) (PWY-7664)","+*",""
"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) (PWY-6282)","+*",""
"pentose phosphate pathway (non-oxidative branch) (NONOXIPENT-PWY)","*",""
"pentose phosphate pathway (PENTOSE-P-PWY)","*",""
"peptidoglycan biosynthesis I (meso-diaminopimelate containing) (PEPTIDOGLYCANSYN-PWY)","*","*"
"peptidoglycan biosynthesis III (mycobacteria) (PWY-6385)","*","*"
"peptidoglycan biosynthesis IV (Enterococcus faecium) (PWY-6471)","*","$"
"peptidoglycan biosynthesis V (&beta;-lactam resistance) (PWY-6470)","*",""
"peptidoglycan maturation (meso-diaminopimelate containing) (PWY0-1586)","*","*"
"phosphatidylglycerol biosynthesis I (plastidic) (PWY4FS-7)","*",""
"phosphatidylglycerol biosynthesis II (non-plastidic) (PWY4FS-8)","*",""
"polyisoprenoid biosynthesis (E. coli) (POLYISOPRENSYN-PWY)","$+*","*"
"protein N-glycosylation (bacterial) (PWY-7031)","*","*"
"protocatechuate degradation II (ortho-cleavage pathway) (PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY)","*","*"
"purine nucleobases degradation I (anaerobic) (P164-PWY)","*","*"
"purine nucleotides degradation II (aerobic) (PWY-6353)","$*","$*"
"purine ribonucleosides degradation (PWY0-1296)","*",""
"pyridoxal 5-phosphate biosynthesis I (PYRIDOXSYN-PWY)","*",""
"pyrimidine deoxyribonucleosides salvage (PWY-7199)","*",""
"pyrimidine deoxyribonucleotide phosphorylation (PWY-7197)","","$"
"pyrimidine deoxyribonucleotides de novo biosynthesis I (PWY-7184)","","$"
"pyrimidine deoxyribonucleotides de novo biosynthesis II (PWY-7187)","*","*"
"pyrimidine deoxyribonucleotides de novo biosynthesis III (PWY-6545)","+*","$+*"
"pyrimidine deoxyribonucleotides de novo biosynthesis IV (PWY-7198)","*",""
"pyruvate fermentation to acetate and lactate II (PWY-5100)","*",""
"pyruvate fermentation to acetone (PWY-6588)","*","$+*"
"pyruvate fermentation to isobutanol (engineered) (PWY-7111)","*","*"
"pyruvate fermentation to propanoate I (P108-PWY)","*","*"
"queuosine biosynthesis (PWY-6700)","*",""
"S-adenosyl-L-methionine cycle I (PWY-6151)","*",""
"spermidine biosynthesis III (PWY-6834)","*","*"
"starch degradation III (PWY-6731)","*","*"
"starch degradation V (PWY-6737)","*",""
"stearate biosynthesis II (bacteria and plants) (PWY-5989)","+*",""
"sucrose degradation III (sucrose invertase) (PWY-621)","*",""
"sulfate reduction I (assimilatory) (SO4ASSIM-PWY)","+*","$*"
"sulfoglycolysis (PWY-7446)","+*","$*"
"superpathay of heme biosynthesis from glutamate (PWY-5918)","*",""
"superpathway of (Kdo)2-lipid A biosynthesis (KDO-NAGLIPASYN-PWY)","$+*","$*"
"superpathway of &beta;-D-glucuronide and D-glucuronate degradation (GLUCUROCAT-PWY)","*","*"
"superpathway of 5-aminoimidazole ribonucleotide biosynthesis (PWY-6277)","$*","*"
"superpathway of adenosine nucleotides de novo biosynthesis I (PWY-7229)","*","*"
"superpathway of adenosine nucleotides de novo biosynthesis II (PWY-6126)","*","*"
"superpathway of arginine and polyamine biosynthesis (ARG+POLYAMINE-SYN)","$+*","$*"
"superpathway of aromatic amino acid biosynthesis (COMPLETE-ARO-PWY)","*",""
"superpathway of branched amino acid biosynthesis (BRANCHED-CHAIN-AA-SYN-PWY)","*","*"
"superpathway of D-glucarate and D-galactarate degradation (GLUCARGALACTSUPER-PWY)","+*","$*"
"superpathway of demethylmenaquinol-6 biosynthesis II (PWY-7373)","*","*"
"superpathway of demethylmenaquinol-9 biosynthesis (PWY-5862)","*",""
"superpathway of fatty acid biosynthesis initiation (E. coli) (FASYN-INITIAL-PWY)","+*^","+*^"
"superpathway of fucose and rhamnose degradation (FUC-RHAMCAT-PWY)","$+*","$*"
"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis (PWY-7323)","*","*"
"superpathway of glucose and xylose degradation (PWY-6901)","*","*"
"superpathway of glycerol degradation to 1,3-propanediol (GOLPDLCAT-PWY)","*","*"
"superpathway of glycolysis and Entner-Doudoroff (GLYCOLYSIS-E-D)","$+*","$*"
"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass (GLYCOLYSIS-TCA-GLYOX-BYPASS)","+*","*"
"superpathway of glyoxylate bypass and TCA (TCA-GLYOX-BYPASS)","+*","$"
"superpathway of guanosine nucleotides de novo biosynthesis I (PWY-7228)","*","$"
"superpathway of guanosine nucleotides de novo biosynthesis II (PWY-6125)","","$"
"superpathway of hexitol degradation (bacteria) (HEXITOLDEGSUPER-PWY)","$+*","$*"
"superpathway of L-alanine biosynthesis (PWY0-1061)","*",""
"superpathway of L-arginine and L-ornithine degradation (ORNARGDEG-PWY)","$+*","$*"
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation (ARGDEG-PWY)","$+*","$*"
"superpathway of L-aspartate and L-asparagine biosynthesis (ASPASN-PWY)","*",""
"superpathway of L-isoleucine biosynthesis I (PWY-3001)","*","*"
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I (P4-PWY)","+*","$+*"
"superpathway of L-methionine biosynthesis (transsulfuration) (PWY-5347)","+*","$"
"superpathway of L-serine and glycine biosynthesis I (SER-GLYSYN-PWY)","*",""
"superpathway of L-threonine biosynthesis (THRESYN-PWY)","*","*"
"superpathway of L-threonine metabolism (THREOCAT-PWY)","*","*"
"superpathway of menaquinol-10 biosynthesis (PWY-5896)","*",""
"superpathway of menaquinol-7 biosynthesis (PWY-5840)","*",""
"superpathway of menaquinol-9 biosynthesis (PWY-5845)","*",""
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation (GLCMANNANAUT-PWY)","*",""
"superpathway of N-acetylneuraminate degradation (P441-PWY)","+*","$*"
"superpathway of ornithine degradation (ORNDEG-PWY)","+*","*"
"superpathway of phospholipid biosynthesis I (bacteria) (PHOSLIPSYN-PWY)","+*",""
"superpathway of phylloquinol biosynthesis (PWY-5863)","*",""
"superpathway of polyamine biosynthesis I (POLYAMSYN-PWY)","$+*","$*"
"superpathway of purine deoxyribonucleosides degradation (PWY0-1297)","*","$"
"superpathway of pyridoxal 5-phosphate biosynthesis and salvage (PWY0-845)","+*","$+*"
"superpathway of pyrimidine deoxyribonucleosides degradation (PWY0-1298)","*",""
"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli) (PWY0-166)","","$"
"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (PWY-7211)","*",""
"superpathway of pyrimidine nucleobases salvage (PWY-7208)","*",""
"superpathway of pyrimidine ribonucleotides de novo biosynthesis (PWY0-162)","*",""
"superpathway of quinolone and alkylquinolone biosynthesis (PWY-6662)","*","*"
"superpathway of S-adenosyl-L-methionine biosynthesis (MET-SAM-PWY)","*",""
"superpathway of salicylate degradation (PWY-6182)","*","$*"
"superpathway of sulfate assimilation and cysteine biosynthesis (SULFATE-CYS-PWY)","+*","$*"
"superpathway of sulfolactate degradation (PWY-6641)","*","*"
"superpathway of sulfur oxidation (Acidianus ambivalens) (PWY-5304)","*","*"
"superpathway of tetrahydrofolate biosynthesis (PWY-6612)","+*","$+*"
"superpathway of tetrahydrofolate biosynthesis and salvage (FOLSYN-PWY)","+*","$*"
"superpathway of thiamin diphosphate biosynthesis I (THISYN-PWY)","$+*","$*"
"superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis (PWY-7328)","*",""
"TCA cycle I (prokaryotic) (TCA)","*","$"
"TCA cycle IV (2-oxoglutarate decarboxylase) (P105-PWY)","*","$"
"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase) (PWY-6969)","*","$"
"TCA cycle VI (obligate autotrophs) (PWY-5913)","*","$"
"TCA cycle VII (acetate-producers) (PWY-7254)","*",""
"TCA cycle VIII (helicobacter) (REDCITCYC)","*","$+*"
"teichoic acid (poly-glycerol) biosynthesis (TEICHOICACID-PWY)","*","*"
"tetrapyrrole biosynthesis II (from glycine) (PWY-5189)","+*",""
"thiamin salvage II (PWY-6897)","*",""
"thiazole biosynthesis I (E. coli) (PWY-6892)","*",""
"thiazole biosynthesis II (Bacillus) (PWY-6891)","+*","$"
"tRNA charging (TRNA-CHARGING-PWY)","*",""
"tRNA processing (PWY0-1479)","+*",""
"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis (PWY-7090)","*",""
"UDP-N-acetyl-D-glucosamine biosynthesis I (UDPNAGSYN-PWY)","*","$*"
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing) (PWY-6387)","*","*"
"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing) (PWY-6386)","*","*"
"UMP biosynthesis (PWY-5686)","*",""
"urate biosynthesis/inosine 5-phosphate degradation (PWY-5695)","*","*"
"urea cycle (PWY-4984)","*","$*"
